Date,Mkt-RF,SMB,HML,RF,UMD,"Recession indicator (1=recession, 0=non-recesstion)"
199712,1.32,-2.39,3.82,0.48,3.97,0
199801,0.15,-0.93,-2.05,0.43,0.1,0
199802,7.03,0.32,-0.91,0.39,-1.13,0
199803,4.76,-1.01,1.25,0.39,2.15,0
199804,0.73,0.48,0.34,0.43,0.77,0
199805,-3.07,-3.54,4.13,0.4,1.87,0
199806,3.18,-3.13,-2.17,0.41,7.28,0
199807,-2.46,-4.92,-1.17,0.4,3.68,0
199808,-16.08,-5.74,5.17,0.43,1.9,0
199809,6.15,-0.2,-3.8,0.46,-0.71,0
199810,7.13,-3.2,-2.67,0.32,-5.36,0
199811,6.1,1.16,-3.52,0.31,1.16,0
199812,6.16,-0.31,-4.68,0.38,9.06,0
199901,3.5,0.87,-5.6,0.35,3.05,0
199902,-4.08,-5.58,1.62,0.35,-0.13,0
199903,3.45,-3.84,-2.89,0.43,-1.29,0
199904,4.33,3.2,2.37,0.37,-9.08,0
199905,-2.46,3.63,2.67,0.34,-5.28,0
199906,4.77,3.48,-4.19,0.4,4.88,0
199907,-3.47,2.22,0.5,0.38,1.58,0
199908,-1.38,-1.3,-0.88,0.39,3,0
199909,-2.81,3.15,-2.99,0.39,6.45,0
199910,6.13,-6.86,-3.13,0.39,5.49,0
199911,3.37,7.96,-8.01,0.36,5.68,0
199912,7.72,7.24,-9.4,0.44,13.21,0
200001,-4.74,4.35,0.06,0.41,1.88,0
200002,2.45,22.32,-13.11,0.43,18.38,0
200003,5.2,-16.7,7.97,0.47,-6.8,0
200004,-6.4,-7.87,9.29,0.46,-8.52,0
200005,-4.42,-5.05,3.87,0.5,-9.06,0
200006,4.64,13.72,-10.18,0.4,16.5,0
200007,-2.51,-2.76,8.55,0.48,-0.12,0
200008,7.03,-0.94,-1.29,0.5,5.7,0
200009,-5.45,-1.94,6.82,0.51,2.15,0
200010,-2.76,-3.67,4.7,0.56,-4.63,0
200011,-10.72,-3.12,12.29,0.51,-2.44,0
200012,1.19,1.5,6.11,0.5,6.73,0
200101,3.13,7.08,-5.66,0.54,-25.01,0
200102,-10.05,-1.17,13.91,0.38,12.48,0
200103,-7.26,0.54,6.22,0.42,8.38,0
200104,7.94,0.24,-4.38,0.39,-8.12,1
200105,0.72,3.05,2.83,0.32,2.17,1
200106,-1.94,6.4,-2.28,0.28,0.34,1
200107,-2.13,-4.15,5.56,0.3,5.5,1
200108,-6.46,2.16,3.28,0.31,5.54,1
200109,-9.25,-6.54,1.82,0.28,11.55,1
200110,2.46,6.86,-7.15,0.22,-8.38,1
200111,7.54,0.41,0.69,0.17,-8.57,1
200112,1.61,5.13,0.47,0.15,-0.03,0
200201,-1.44,1.15,3.39,0.14,3.76,0
200202,-2.29,-1.62,3.89,0.13,6.79,0
200203,4.24,4.31,1.12,0.13,-1.65,0
200204,-5.2,5.9,4.21,0.15,7.98,0
200205,-1.38,-3.7,2.55,0.14,3.04,0
200206,-7.21,3.55,1.5,0.13,6.14,0
200207,-8.18,-5.22,-3.62,0.15,3.38,0
200208,0.5,-2.26,2.29,0.14,1.75,0
200209,-10.35,2.75,1.31,0.14,9.15,0
200210,7.84,-2.98,-6.45,0.14,-5.46,0
200211,5.96,3.2,-1.59,0.12,-16.28,0
200212,-5.76,-0.45,3.88,0.11,9.62,0
200301,-2.57,1.39,-0.82,0.1,1.58,0
200302,-1.88,-0.27,-1.45,0.09,1.25,0
200303,1.09,0.73,-1.58,0.1,1.52,0
200304,8.22,1.11,-0.09,0.1,-9.42,0
200305,6.05,4.8,0.09,0.09,-10.76,0
200306,1.42,1.5,0.71,0.1,-1.02,0
200307,2.35,5.58,-2.04,0.07,-0.29,0
200308,2.34,2.65,1.76,0.07,-0.54,0
200309,-1.24,0.6,0.93,0.08,-0.19,0
200310,6.08,2.89,1.69,0.07,3.75,0
200311,1.35,2.25,1.39,0.07,1.63,0
200312,4.29,-2.8,2.78,0.08,-5.69,0
200401,2.15,2.63,1.66,0.07,2.59,0
200402,1.4,-1.19,0.44,0.06,-1.1,0
200403,-1.32,1.9,-0.05,0.09,0.2,0
200404,-1.83,-2.57,-1.67,0.08,-5.36,0
200405,1.17,-0.19,-0.26,0.06,1.65,0
200406,1.86,2.34,1.63,0.08,2.07,0
200407,-4.06,-3.77,4.56,0.1,-2.3,0
200408,0.08,-1.57,1.24,0.11,-1.5,0
200409,1.6,2.93,0.47,0.11,5.26,0
200410,1.43,0.39,-0.82,0.11,-1.49,0
200411,4.54,4.13,1.94,0.15,3.22,0
200412,3.43,0.19,-0.37,0.16,-2.83,0
200501,-2.76,-1.55,2.73,0.16,3.12,0
200502,1.89,-0.68,2.84,0.16,3.21,0
200503,-1.97,-1.36,1.7,0.21,0.54,0
200504,-2.61,-3.97,-0.45,0.21,-0.81,0
200505,3.65,2.97,-1.21,0.24,0.39,0
200506,0.57,2.59,2.79,0.23,2.06,0
200507,3.92,2.77,-0.47,0.24,0.04,0
200508,-1.22,-0.85,1.47,0.3,2.24,0
200509,0.49,-0.68,1.11,0.29,3.5,0
200510,-2.02,-1,-0.67,0.27,-1.31,0
200511,3.61,0.96,-1.85,0.31,0.35,0
200512,-0.25,-0.5,0.5,0.32,0.74,0
200601,3.04,5.31,1.17,0.35,2.76,0
200602,-0.3,-0.32,-0.85,0.34,-1.82,0
200603,1.46,3.54,-0.14,0.37,1.24,0
200604,0.73,-1.25,3.06,0.36,0.66,0
200605,-3.57,-3.03,2.79,0.43,-3.7,0
200606,-0.35,-0.55,1.49,0.4,1.49,0
200607,-0.78,-4,3.42,0.4,-2.19,0
200608,2.03,0.81,-1.78,0.42,-3.47,0
200609,1.84,-1.23,-0.5,0.41,-0.93,0
200610,3.23,1.64,0.52,0.41,-0.26,0
200611,1.71,0.78,0.53,0.42,-1.03,0
200612,0.87,-0.9,2.55,0.4,0.84,0
200701,1.4,0.1,-0.05,0.44,0.24,0
200702,-1.96,1.35,0.23,0.38,-1.33,0
200703,0.68,-0.27,0.37,0.43,2.47,0
200704,3.49,-2.07,-0.99,0.44,-0.16,0
200705,3.24,-0.03,-0.17,0.41,-0.27,0
200706,-1.96,0.75,-1.03,0.4,0.3,0
200707,-3.73,-2.67,-2.99,0.4,2.79,0
200708,0.92,-0.16,-2.32,0.42,0.09,0
200709,3.22,-2.45,-2.11,0.32,4.64,0
200710,1.8,0.11,-2.11,0.32,4.87,0
200711,-4.83,-2.78,-1.02,0.34,0.9,0
200712,-0.87,0.02,-0.01,0.27,6.54,1
200801,-6.36,-0.74,3.05,0.21,-7.81,1
200802,-3.09,-0.55,0.01,0.13,6.11,1
200803,-0.93,0.8,0.24,0.17,4.08,1
200804,4.6,-1.52,-0.03,0.18,-0.2,1
200805,1.86,3.03,-0.41,0.18,3.22,1
200806,-8.44,1.12,-1.02,0.17,12.45,1
200807,-0.77,3.56,3.64,0.15,-5.2,1
200808,1.53,3.67,1.61,0.13,-4.05,1
200809,-9.24,-0.32,4.36,0.15,0.33,1
200810,-17.23,-2.3,-2.96,0.08,7.78,1
200811,-7.86,-3.68,-5.02,0.03,7.22,1
200812,1.74,4,-1.19,0,-5.05,1
200901,-8.12,-0.99,-9.67,0,-1.92,1
200902,-10.1,-0.38,-6.9,0.01,4.17,1
200903,8.95,0.7,2.54,0.02,-11.53,1
200904,10.19,5.35,5.22,0.01,-34.58,1
200905,5.21,-2.63,0.58,0,-12.33,1
200906,0.43,2.67,-2.39,0.01,5.31,1
200907,7.72,2.51,4.73,0.01,-5.41,1
200908,3.33,-0.5,7.65,0.01,-8.9,0
200909,4.08,2.43,1.35,0.01,-5,0
200910,-2.59,-4.23,-4.35,0,2.64,0
200911,5.56,-2.61,0.23,0,0.32,0
200912,2.75,5.79,0.72,0.01,2.94,0
201001,-3.36,0.2,0.61,0,-5.36,0
201002,3.4,1.44,2.74,0,3.61,0
201003,6.31,1.57,2.01,0.01,3.68,0
201004,2,4.92,3.12,0.01,3.21,0
201005,-7.89,-0.09,-2.32,0.01,-0.19,0
201006,-5.56,-2.15,-4.27,0.01,-2.98,0
201007,6.93,0.24,0.04,0.01,1.94,0
201008,-4.77,-3.03,-1.51,0.01,-0.15,0
201009,9.54,3.84,-2.94,0.01,1.36,0
201010,3.88,1.01,-2.23,0.01,1.25,0
201011,0.6,3.69,-0.58,0.01,2.51,0
201012,6.82,0.85,3.47,0.01,-3.19,0
201101,1.99,-2.4,0.68,0.01,-0.33,0
201102,3.49,1.62,1.73,0.01,2.07,0
201103,0.45,2.68,-1.16,0.01,3.55,0
201104,2.9,-0.34,-2.15,0,0.07,0
201105,-1.27,-0.68,-2.12,0,-0.59,0
201106,-1.75,-0.14,-0.26,0,1.75,0
201107,-2.36,-1.44,-1.18,0,0.03,0
201108,-5.99,-3.3,-1.58,0.01,-0.3,0
201109,-7.59,-3.72,-0.98,0,-2.58,0
201110,11.35,3.58,-0.96,0,-1.45,0
201111,-0.28,-0.24,-0.18,0,3.98,0
201112,0.74,-0.55,1.57,0,1.87,0
201201,5.05,2.51,-2.14,0,-7.95,0
201202,4.42,-1.65,0.01,0,-0.28,0
201203,3.11,-0.27,-0.06,0,1.49,0
201204,-0.85,-0.63,-0.2,0,3.84,0
201205,-6.19,-0.11,0.08,0.01,6.64,0
201206,3.89,0.81,0.54,0,-1.13,0
201207,0.79,-2.6,0.01,0,3.06,0
201208,2.55,0.69,0.6,0.01,-2.44,0
201209,2.73,0.5,1.56,0.01,-1.03,0
201210,-1.76,-1.07,4.16,0.01,0.12,0
201211,0.78,0.68,-1.12,0.01,0.35,0
201212,1.18,1.61,3.26,0.01,-2.92,0
201301,5.57,0.5,1.34,0,-1.91,0
201302,1.29,-0.4,0.28,0,1.37,0
201303,4.03,0.88,-0.07,0,1.95,0
201304,1.56,-2.4,0.35,0,0.28,0
201305,2.8,2,1.33,0,-1.92,0
201306,-1.2,1.18,-0.4,0,0.63,0
201307,5.65,1.88,0.71,0,1.76,0
201308,-2.71,0.24,-2.48,0,0.05,0
201309,3.77,2.86,-1.57,0,2.98,0
201310,4.18,-1.55,1.36,0,0.14,0
201311,3.12,1.33,-0.38,0,0.45,0
201312,2.81,-0.43,-0.2,0,0.06,0
201401,-3.32,0.83,-1.88,0,1.65,0
201402,4.65,0.32,-0.49,0,2.09,0
201403,0.43,-1.81,4.6,0,-3.25,0
201404,-0.19,-4.17,1.62,0,-3.9,0
201405,2.06,-1.84,-0.38,0,1.02,0
201406,2.61,2.94,-0.6,0,0.7,0
201407,-2.04,-4.25,0.04,0,-0.26,0
201408,4.23,0.5,-0.76,0,0.77,0
201409,-1.97,-3.8,-1.68,0,0.49,0
201410,2.52,4.28,-1.81,0,0.07,0
201411,2.55,-2.08,-3.37,0,1.02,0
201412,-0.06,2.6,1.56,0,1.04,0
201501,-3.11,-0.62,-3.06,0,3.76,0
201502,6.13,0.47,-2.16,0,-2.88,0
201503,-1.12,3.14,-0.73,0,3.02,0
201504,0.59,-3.03,2.13,0,-7.41,0
201505,1.36,0.95,-1.9,0,5.92,0
201506,-1.53,2.84,-1.04,0,3.05,0
201507,1.54,-4.17,-4.5,0,10.24,0
201508,-6.04,0.43,2.88,0,-2.16,0
201509,-3.08,-2.71,0.73,0,5.26,0
201510,7.75,-1.86,-0.32,0,-3.92,0
201511,0.56,3.56,-1.2,0,2.44,0
