Size and Ret212,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
199509,-34.69,-1.25,11.35,25.13,96.57,-25,-1.61,11.06,24.2,106.99,-20.61,-1.15,11.16,24.94,97.52,-18.44,-0.86,11.7,24.17,92.38,-15.85,0.3,11.81,23.41,63.47
199510,-32.09,2.19,15.24,29.21,100.18,-21.8,1.63,15.39,29.06,111.98,-18.87,2.23,15.33,28.32,97.7,-18.73,2.32,15.47,28.66,88.74,-17.65,3.4,15.9,28.88,76.06
199511,-32.64,3.11,18.01,32.38,107.67,-21.97,3.61,17.97,32.63,104.86,-18.31,3.95,18.3,32.39,98.54,-17.27,4.11,18.55,32.43,86.22,-15.13,4.82,18.2,32.8,80.46
199512,-35.38,3.75,20.1,36.43,108.25,-23.82,4.31,19.92,36.44,110.71,-20.4,4.35,20.04,35.7,103.43,-17.62,3.42,21.2,36.01,89.72,-19.3,6.16,20.66,36.49,83.81
199601,-34.29,5.9,22.16,39.66,120.66,-21.12,6.26,22.42,40.53,122.94,-16.78,5.73,22.48,38.27,132.51,-16.13,7.24,22.28,39.3,95.5,-16.48,8.1,23.38,39.82,84.41
199602,-34.19,7.75,23.91,39.82,121.99,-20.24,7.79,23.7,40.34,119.94,-15.98,8.59,24.3,39.75,112.03,-18.06,7.57,24.57,40.65,110.05,-10.51,10.03,24.39,39.49,84.88
199603,-34.54,5.09,21.69,36.99,115.37,-24.45,5.1,21.8,37.46,119.67,-21.04,5.41,21.24,36.48,114.53,-17.33,6.5,21.56,36.69,99.25,-18.14,7.06,21.45,37.17,77.77
199604,-33.2,5.66,21.48,36.85,120.13,-22.92,4.79,20.84,36.88,122.16,-19.28,5.35,20.83,35.29,105.74,-15.48,6.74,20.88,36.6,102.64,-16.26,7.11,22.28,36.99,79.32
199605,-31.87,6.01,21.75,36.7,118.39,-20.63,6.95,21.92,37.53,126.93,-20.2,7.29,21.49,37.06,112.91,-18.33,6.26,21.4,35.99,110.22,-14.48,7.71,22.13,37.09,79.46
199606,-29.13,6.15,19.91,36.56,130.24,-15.53,6.62,19.96,35.89,137.21,-13.91,6.65,20.23,35.37,131.27,-12.23,7.48,20.21,34.76,107.17,-10.49,7.02,19.72,35.74,103.9
199607,-28.28,6.76,20.14,35.28,137.46,-17.35,7.1,20.16,35.54,139.09,-16.88,7.16,20.7,35.07,122.31,-14.53,7,20.62,34.49,107.45,-12.89,7.85,20.76,34.66,100.73
199608,-34.81,1.87,16.18,29.9,114.3,-27.17,2.21,16.14,29.43,106.56,-28.72,2.03,15.94,29.65,99.14,-20.25,3.88,16.81,29.44,96.88,-21.82,3.04,17.07,29.28,68.06
199609,-40.72,-6.08,7.95,21.18,87.58,-33.97,-6.03,7.57,21.24,82.25,-34.49,-5.03,8.26,20.66,83.38,-29.08,-4.88,8.48,20.11,74.23,-28.96,-3.59,8.19,21.39,54
199610,-39.48,-4.37,9.56,23.19,83.86,-32.3,-3.3,10.26,23.6,90.94,-31.8,-4.04,9.6,23.67,86.6,-25.66,-3.24,9.84,21.81,78.92,-24.91,-2.42,10.01,22.84,57.99
199611,-32.99,3.12,17.2,32.85,103.96,-25.78,3.96,17.36,32.33,108.74,-24.5,4.33,17.94,32.34,111.89,-20.16,3.44,17.36,31.16,97.58,-20.67,3.48,17.52,31.95,66.4
199612,-37.38,-0.15,13.64,28.68,100.27,-31.76,0.02,13.7,28.43,99.93,-28.66,-0.05,14.29,29.49,102.84,-24.11,1.37,12.8,27.93,85.96,-25.38,0.9,13.8,28.74,60.2
199701,-36.4,1.85,16.39,33.23,108.02,-26.46,2.13,16.81,32.74,102.59,-23.54,1.87,17.17,33.5,101.31,-21.7,1.46,17.13,32.54,80.99,-16.73,2.6,17.26,32.82,65.43
199702,-38.31,1.09,15.68,31.81,103.71,-29.57,1.23,16.11,32.8,98.34,-23.14,1.42,15.55,31.43,98.91,-20.49,1.04,16.05,31.23,79.19,-16.14,1.27,16.06,31.71,66.86
199703,-35.57,2.17,16.7,31.99,106.92,-27.78,2.4,16.69,33.21,107.27,-23.22,2.9,17,33,93.4,-17.53,2.64,16.62,32.6,77.16,-16.93,3.72,17.32,32.46,67.02
199704,-38.39,-0.16,14.59,30.51,93.17,-29.51,0.59,14.63,30.37,88,-24.76,0.08,14.56,29.25,78.54,-19.9,0.6,15.05,29.82,62.89,-17.23,0.78,15.22,30.76,62.84
199705,-44.96,-6.16,8.24,23.35,68.17,-38.46,-7.02,8.57,23.39,68.25,-33.31,-5.48,8.59,22.79,57.6,-26.67,-5.56,8.87,22.75,52.83,-25.54,-4.34,8.83,22.72,49.29
199706,-49.11,-8.35,6.86,22.35,63.63,-42.16,-8.55,7.34,22.37,61.21,-37.53,-8.02,7.25,22.65,59.34,-34.76,-7.66,6.78,22.38,56.02,-28.69,-6.79,8.4,22.58,51.53
199707,-41.3,0.82,15.42,31.27,79.85,-30.88,0.75,14.79,30.94,81.46,-25.48,1.51,15.45,31.4,72.93,-21.76,1.3,15.36,30.64,72.16,-15.7,1.66,15.63,31.07,67.25
199708,-32.52,12.06,27.84,45.81,100.08,-18.04,12.34,28.35,46.66,109.3,-17.77,13.48,28.56,45.59,106.79,-10.87,12.85,28.85,45.48,96.41,-7.17,12.29,28.02,46.91,81.89
199709,-33.34,12.86,31.14,50.02,109.18,-19.37,13.01,30.46,50.82,121.61,-16.15,13.1,30.37,49.15,112.66,-11.73,13.6,30.22,50.43,101.95,-5.2,13.76,30.85,50.44,96.45
199710,-33.4,10.89,27.17,44.31,102.2,-21.82,10.75,26.77,44.79,116.11,-17.12,11.87,25.97,44.43,115.82,-13.34,11.38,26.46,43.92,94.64,-8.75,12.42,27.16,43.34,85.94
199711,-27.84,16.02,32.61,51.22,123.45,-14.29,16.03,31.67,51.8,130.2,-11.96,16.31,32.24,51.7,118.68,-8.73,16.01,32.33,51.3,110.2,-2.92,16.73,33.63,49.84,99.17
199712,-32.96,6.36,22.7,40.54,107.27,-21.8,6.67,21.56,41.95,103.13,-19.68,7.74,22.46,40.24,91.51,-16.54,6.95,21.99,39.59,93.76,-14.54,8.21,22.54,38.79,74.68
199801,-34.91,7.13,24.65,41.13,107,-21.63,8.02,24.21,41.09,100.34,-21.1,8.23,24.14,41.51,86.23,-17.16,8.5,24.61,40.05,86.16,-18.19,8.67,23.89,41.47,72.53
199802,-40.67,5.78,24.75,41.36,97.74,-27.37,6.74,24.17,40.41,97.88,-24.26,7.23,24.7,42.06,87.06,-22.42,7.47,24.08,40.38,81.96,-22.03,7.58,24.3,41.47,71.36
199803,-37.68,5.03,21.82,38.46,94.3,-25.68,5.58,21.48,39.07,95.04,-25.95,5.85,22.53,38.38,88.24,-22.86,6.33,21.23,38.55,88.86,-18.02,6.37,22.1,38.42,68.76
199804,-29.07,16,34.34,53.68,119.72,-13.77,16.58,33.93,54.72,126.85,-14.03,15.59,34.22,54.01,119.79,-9.93,16.54,33.31,53.82,115.31,-9.87,16.26,34.26,54.17,94.71
199805,-24.94,20.49,38.38,57.63,131.51,-9.77,20.89,38.54,58.33,139.44,-6.89,21.28,38.18,58.19,140.58,-8.33,21.32,38.4,58.7,118.78,-2.98,22.07,39.02,56.96,103.83
199806,-30.85,11.18,29.19,47.65,120.26,-18.43,11.34,29.12,48.64,112.88,-14.65,12.06,28.94,47.77,121.2,-14.89,12.09,28.76,48.12,99.7,-9.86,13.46,29.68,46.78,91.1
199807,-37.25,1.97,19.32,35.93,99.62,-26.68,2.23,19.11,35.79,87.79,-23.08,3.09,18.79,35.56,101.04,-23.2,3.85,19.74,34.98,79.44,-18.61,3.76,19.64,36.41,77.52
199808,-43.96,-5.83,12.19,29.6,91.4,-36.76,-5.92,12.84,29.24,85.75,-34.83,-5.7,12.65,28.69,96.37,-31.08,-5.92,12.87,28.94,80.63,-28.19,-4.68,12.59,28.94,77.48
199809,-51.55,-14.56,4.9,23.79,84.74,-44.24,-14.01,4.71,23.62,77.28,-42.52,-13.83,6.02,23.74,86.61,-41.18,-14.58,5.24,23.89,66.69,-32.53,-14.06,5.92,24.13,72.02
199810,-64.95,-34.41,-16.57,-0.32,42.9,-59.51,-34.31,-16.94,-0.38,35.94,-59.14,-33.19,-17.25,0.09,38.9,-58.33,-33.62,-16.93,0.84,39.29,-52.32,-32.03,-16.48,0.28,36.88
199811,-63.32,-30.7,-11.51,6.15,52.5,-57.88,-30.07,-11.62,6.55,51.27,-55.58,-29.76,-11.82,6.91,58.76,-55.27,-28.65,-10.76,7.6,50.3,-53.17,-26.43,-10.43,6.73,52.42
199812,-59.02,-25.44,-7.5,8.47,57.47,-51.1,-25.32,-7.43,9.04,55.87,-48.76,-24.1,-7.3,8.18,58.25,-48.95,-24.63,-7.35,8.59,58.66,-47.68,-23.32,-7.09,9.08,52.04
199901,-54.99,-22.56,-5.86,10.25,83.37,-48.24,-21.76,-5.48,10.53,78.53,-48.37,-21.42,-5.63,10.81,71.97,-46.46,-21.7,-5.34,10.53,74.02,-44.2,-20.82,-4.07,10.75,58.41
199902,-56.19,-21.79,-2.65,15.66,93.75,-50.16,-21.66,-2,16.96,86.62,-48.68,-21.05,-2.39,16.25,86.92,-45.29,-19.61,-1.71,16.83,87.33,-40.83,-18.52,0.52,17.09,80.79
199903,-58.57,-28.42,-11.69,4.71,83.4,-54.11,-27.86,-11.57,4.94,77.22,-51.34,-27.65,-11.91,5.56,86.1,-48,-28.59,-11.07,4.99,90.54,-49.11,-27.43,-11.31,6.17,75.28
199904,-62.98,-36.46,-20.34,-3.73,65.83,-59.76,-36.35,-20.99,-4.31,59.1,-58.09,-34.84,-20.01,-3.65,56.17,-55.75,-36.22,-19.71,-4.28,72.18,-51.67,-34.16,-19.97,-3.39,59.54
199905,-63.08,-37.46,-22.62,-6.48,69.5,-60.46,-37.49,-21.67,-6.32,67.3,-57.71,-37.63,-22.19,-5.29,56.07,-53.7,-36.74,-21.97,-5.76,80.02,-54.95,-35.56,-21.37,-4.26,72.31
199906,-55.7,-27.37,-12.08,3.74,102.62,-51.73,-26.83,-11.95,4.07,93.14,-47.36,-26.28,-11.24,4.57,98.35,-50.02,-26.97,-11.27,4.97,102.91,-45.57,-24.77,-11.03,6.05,90.57
199907,-52.37,-23.59,-9.19,6.36,99.54,-48.15,-22.76,-8.73,6.61,79.95,-43.43,-22.98,-8.92,5.55,97.32,-43.13,-22.59,-7.87,5.89,78.4,-40.8,-20.76,-8.46,7.94,79.38
199908,-46.03,-15.36,-0.28,17.23,112.96,-42.45,-14.85,0.26,16.54,105.37,-35.22,-14.25,-0.58,17.38,138.71,-36.96,-13.7,0.52,17.44,113.62,-33.36,-11.96,1.54,17.73,98.31
199909,-34.26,-1,17.37,40.37,166.15,-29.35,-1.12,17.32,40.82,185,-25,-0.13,17.81,40.22,182.59,-25.72,-0.07,18.01,40.08,192.49,-21.71,-0.46,17.82,42.21,156.52
199910,-41.12,-8.95,6.77,27,145.41,-35.41,-8.37,6.5,28.72,159.98,-32.11,-8.66,7.02,27.86,160.39,-30.66,-8.07,7.13,27.44,174.21,-28.33,-8.18,7.77,28.92,142.81
199911,-45.89,-16.88,-1.77,16.91,125.66,-40.4,-17.19,-1.23,17.22,143.39,-39.13,-16.02,-2.4,16.8,151.7,-37.11,-16.95,-2.33,15.4,151.56,-34.51,-16.46,-1.86,15.7,139.31
199912,-52.84,-22.65,-6.89,10.69,101.6,-48.06,-22.38,-6.92,11.35,131.3,-47.5,-21.9,-5.96,10.97,144.55,-44.17,-22.2,-5.98,10.53,134.57,-44.31,-21.05,-5,12.82,136.1
200001,-53.12,-24.76,-9.52,8.55,112.11,-49.51,-24.08,-9.43,8.95,148.56,-45.7,-23.85,-9.09,6.89,152.12,-44.84,-24.81,-9.27,9.12,180.4,-43.88,-23.87,-9.54,9.27,141.79
200002,-52.2,-22.48,-6.56,13.9,130.76,-47.63,-23.07,-6.45,15.15,195.89,-46.17,-21.47,-6.31,13.13,195.15,-42.4,-22.2,-5.85,13.01,204.83,-40.9,-22.62,-6.75,14.36,162.61
200003,-48.7,-21.86,-6.56,13.91,131.96,-46.1,-22.36,-7.13,13.89,190.53,-44.24,-22.55,-6.67,14.73,196.88,-42.1,-22.15,-6.77,13.31,267.28,-43.54,-21.87,-6.72,15.28,216.57
200004,-52.96,-25.95,-10.29,8.87,168.04,-52.25,-25.76,-10.72,9.46,287.45,-47.94,-27.31,-11.17,8.55,378.6,-47.17,-25.98,-10.8,8.96,366.89,-46.15,-25.46,-10.27,9.38,253.02
200005,-53.57,-27.1,-11.98,7.21,160.58,-49.23,-27.48,-12.56,6.18,239.99,-46.97,-26.59,-12.12,6.08,242.22,-48.26,-26.09,-12.17,7.96,191.81,-46.7,-27.14,-12.02,7.58,202.11
200006,-55.9,-27.34,-12.02,6.65,120.67,-50.92,-27.63,-11.93,5.83,170.37,-50.61,-27.05,-11.81,6.19,169.5,-48.94,-27.47,-11.55,6.77,168.52,-48.25,-27.51,-10.46,6.21,173.02
200007,-58.84,-28.8,-13.38,3.81,87.12,-53.6,-28.55,-13.4,3.78,119.73,-53.43,-28.33,-12.67,4.07,133.46,-52.84,-27.98,-12.7,4.45,151.69,-51.43,-28.52,-12.94,4.02,119.15
200008,-59.14,-28.5,-12.8,6.25,105.2,-51.96,-28.27,-12.66,6.09,186.47,-52.75,-27.35,-12.46,6.73,186.14,-50.65,-28.68,-12.02,6.92,183.68,-46.68,-28.95,-12.33,5.83,158.2
200009,-56.08,-23.79,-6.73,12.51,109.09,-50.33,-23.83,-6.1,12.14,151.45,-48.02,-23.24,-6.03,13.12,163.91,-47.69,-23.75,-6.89,13.95,139.7,-44.05,-23.34,-5.62,12.66,142.92
200010,-52.45,-18.25,-0.03,24.2,145.77,-48.3,-18.78,0.68,25.98,179.1,-42.24,-18.19,0.95,23.9,190.55,-41.99,-19,0.59,25.25,193.22,-37.4,-18.31,2.32,24.78,185.61
200011,-54.74,-18.46,1.36,25.89,144.79,-51.29,-18.7,1.13,27.47,183.91,-47.4,-18.19,1.84,26.16,197.33,-43.78,-19.06,1.88,26.24,215.54,-40.07,-18.48,2.47,26.91,158.34
200012,-58.95,-18.51,1.53,26.34,132.5,-54.25,-18.88,1.69,27.34,133.75,-48.8,-17.95,2.52,27.35,163.85,-50.73,-18.31,2.2,27.54,147.25,-42.4,-18.5,2.87,27.49,105.36
200101,-67.31,-23.36,-2.3,22.42,90.81,-60.85,-23.08,-0.68,24.03,95.97,-59.67,-22.37,-1.73,23.48,111.91,-55.62,-23.6,-0.58,23.2,100.57,-52.82,-22.84,-0.66,23.89,75.54
200102,-67.25,-13.79,12.04,38.5,106.31,-62.63,-12.02,13.74,38.78,120.54,-57.81,-13.83,14.04,41.31,142.06,-56.07,-14.24,13.26,41.04,125.67,-52.09,-11,13.55,40.38,88.12
200103,-59.74,-2,22.14,45.39,113.54,-52.66,-1.36,23.54,45.22,119.4,-49.44,-0.12,23.07,46.13,120.78,-47.16,-3.32,22.83,46.25,115.76,-40.36,-2.21,24.43,48.44,94.93
200104,-64.18,-10.97,11.82,33.44,93.68,-56.24,-10.09,12.69,34.23,91.95,-55.59,-9.78,12.61,33.36,103.01,-53.47,-9.97,13.28,34.28,97.91,-50.5,-10.42,11.63,34.81,78.31
200105,-64.7,-14.18,8.28,29.81,90.55,-57.25,-13.2,9.6,30.32,97.72,-54.82,-13.75,9.34,30.32,98.38,-55.38,-13.07,9.35,29.4,86.85,-54.74,-12.52,9.09,29.54,72.03
200106,-56.4,-7.38,13,33.89,97.01,-48.64,-6.6,14.22,34.76,113.71,-45.35,-5.57,13.9,34.89,117.01,-44.77,-5.29,13.59,34.62,92.68,-41.85,-5.36,12.71,34.06,77.99
200107,-56.16,-3.35,19.46,42.3,107.64,-49.85,-1.13,21.26,43.96,131.65,-48.47,-2.04,20.35,42.42,120.47,-45.34,-0.99,21.39,42.37,98.12,-41.88,-1.24,20.87,43.27,77.92
200108,-55.01,-2.48,18.59,38.52,105.89,-48.65,-2.78,18.28,39.44,118.49,-46.32,-1.86,19.49,39.14,112.95,-41.81,-2.67,19.33,39.73,93.08,-39.31,-0.78,18.15,39.85,77.97
200109,-60.31,-8.88,11.92,33.18,93.71,-54.24,-7.99,12.16,32.66,107.09,-49.24,-7.52,12.38,32.48,91.11,-49.97,-7.93,12.16,31.75,81.58,-49.44,-7.19,11.34,33,69.11
200110,-60.79,-8.71,11.92,32.55,95.72,-55.5,-7.82,12.93,33.29,103.8,-50.92,-7.82,12.09,31.82,89.25,-49.91,-9.55,12.41,31.55,69.77,-47.29,-9.27,11.41,31.92,65.03
200111,-66.05,-21.1,-0.17,18.62,73.58,-62.55,-20.96,0.03,18.93,93.05,-61.03,-20.64,-1.16,17.72,74.46,-55.68,-20.39,-1.19,18.3,58.63,-58.36,-20.49,-0.69,18.29,44.9
200112,-58.09,-14.72,2.88,22.94,95.62,-51.91,-14.81,3.28,22.6,122.4,-50.39,-14.42,2.27,22.97,95.99,-47.53,-13.99,2.55,22.09,64.49,-46.93,-14.92,1.94,20.89,62.27
200201,-56.37,-15.72,1.14,20.68,107.33,-51.07,-15.27,1.57,19.66,139.52,-48.55,-16.3,0.94,19.54,90.75,-44.47,-16.18,0.82,18.66,74.23,-44.43,-15.16,1.45,17.45,64.48
200202,-55.9,-12.31,4.54,20.97,90.79,-49.85,-12.79,5.26,20.16,108.85,-46.08,-11.99,4.35,20.47,76.42,-44.35,-12.13,4.82,21.02,57.28,-42.87,-11.34,4.31,20.09,53.84
200203,-50.64,-10.69,4.96,20.94,91.47,-42.49,-10.14,6.09,21.51,110.95,-41.78,-10.07,5.84,20.45,78.11,-38.15,-10.33,5.49,19.78,62.35,-37.59,-9.89,5.22,20.42,52.66
200204,-47.58,-5.66,10.43,27.22,102.68,-39.39,-5.64,10.56,27.49,113.13,-36.15,-5.46,10.23,26.81,84.86,-37.83,-6.47,11.22,27.85,63.98,-34.59,-4.45,9.8,27.55,60.21
200205,-45.78,-3.29,12.83,28.11,99.61,-36.27,-2.96,13.47,28.98,98.44,-36.7,-3.15,11.84,26.83,76.1,-36.32,-2.11,12.07,26.9,61.56,-30.9,-3.25,12,27.04,56.75
200206,-49.85,-6.32,9.38,26.58,95.27,-40.35,-7.14,9.03,26.58,87.99,-40.2,-6.04,9.21,26.79,75.12,-40.4,-5.35,9.7,26.41,63.83,-32.26,-6.61,9.5,24.91,57.93
200207,-51.74,-7.31,7.96,24.08,94.2,-42.93,-6.26,8.09,23.04,82.48,-41.74,-5.41,8.35,22.5,62.89,-41.5,-5.78,8.1,23.93,54.79,-32.39,-7.27,7.99,22.94,52.79
200208,-54.35,-11.27,4.42,19.96,90.35,-45.28,-11.98,4.86,20.25,75.46,-47.16,-10.54,4.81,19.15,61.49,-45.58,-9.25,5.11,19.55,52.29,-38.39,-11.43,3.89,19.24,44.46
200209,-59.04,-20.89,-4.84,10.25,64.53,-51.89,-20.7,-5.31,9.32,60.9,-49.9,-20.17,-5.37,8.8,45.53,-52.78,-19.7,-4.61,10.08,37.1,-44.49,-21.23,-4.39,8.79,32.66
200210,-51.37,-8.87,7.29,23.44,91.1,-42.91,-8.37,7.58,23.81,87.08,-43.12,-7.72,8.34,23.92,75.45,-38.67,-8.58,7.74,23.53,61.5,-33.66,-9.13,7.9,23.65,52.81
200211,-60.39,-20.03,-1.96,14.21,68.09,-54.02,-19.14,-1.72,13.26,67.34,-55.88,-18.64,-1.96,13.42,53.91,-51.22,-19.56,-1.5,13.03,50.12,-45.9,-19.68,-1.44,12.8,35.96
200212,-63.53,-23.86,-6.02,9.91,59.83,-57.81,-23,-5.58,9.5,58.67,-59.59,-23.37,-5.47,9.89,48.52,-55.3,-23.97,-5.97,8.97,38.65,-51.09,-24.69,-6.75,9.73,28.71
200301,-58.92,-21.91,-7.21,5.95,54.69,-50.96,-21.64,-7.52,5.99,50.04,-52.6,-20.54,-6.63,5.46,38.54,-48.85,-21.17,-7.05,6.43,32.54,-45.56,-20.76,-7.34,6.42,23.42
200302,-62.37,-25.47,-9.41,4.87,47.74,-55.18,-24.89,-9.21,4.29,52.58,-54.66,-24.83,-9.19,3.75,29.23,-54.06,-24.32,-8.61,4.45,29.32,-47.75,-23.72,-8.8,4.57,21.85
200303,-61.24,-28.13,-14.36,-1.05,43.44,-52.52,-28.09,-13.91,-0.88,43.79,-52.34,-28.15,-14.42,-1.26,25.37,-52.9,-27.89,-13.59,-1.04,23.76,-46.66,-27.97,-14.15,-1.49,20.33
200304,-66.12,-36.8,-22.53,-9.01,32.63,-58.54,-36.55,-22.06,-9.71,32.72,-60.91,-36.33,-21.46,-9.17,15.2,-58.3,-35.06,-22.23,-9.35,13.88,-54,-36.26,-21.71,-8.88,11.95
200305,-64.91,-36.95,-23.02,-10.15,30.49,-58.53,-37.12,-22.61,-10.42,31.85,-59.31,-36.26,-22.69,-10.92,16.13,-56.89,-35.46,-22.86,-10.1,11.16,-54.83,-36.66,-22.9,-10.36,11.66
200306,-57.7,-29.19,-15.44,-2.91,41.97,-51.46,-29.24,-15.65,-2.74,37.85,-52.89,-29.65,-14.97,-3.87,36.66,-46.69,-28.81,-15.87,-3.99,26.79,-49.2,-28.13,-14.62,-3.11,20.75
200307,-48.19,-19.18,-5.29,7.44,68.89,-41.6,-18.44,-5.41,7.8,77.38,-42.02,-19.15,-5.24,7.51,64,-34.85,-18.39,-4.89,7.87,51.95,-38.23,-17.14,-4.89,7.04,41.28
200308,-35.28,-5.86,8.02,23.52,105.19,-28.7,-4.96,8.13,22.07,113.81,-27.9,-4.49,8.63,23.09,102.87,-21.46,-4.7,8.17,22.85,85.59,-24.61,-3.74,7.77,23.09,71.14
200309,-31.57,-1.99,10.09,24.86,121.63,-24.54,-1.95,10.77,24.23,118.06,-22.6,-1.92,10,24.61,110.86,-17.78,-1.97,9.82,24.01,93.01,-20.42,-0.76,9.87,24.2,71.31
200310,-20.91,9.94,25.16,42.72,173.51,-13.18,10.65,25.07,41.55,176.78,-11.19,10.81,24.5,42.01,172.76,-6.41,11.17,24.46,42.23,139.93,-9.56,9.95,25.03,42.38,109.85
200311,-20.62,7.39,20.53,37.89,169.34,-15.21,7.69,20.32,37.58,170.64,-11.53,7.34,20.18,36.97,142.8,-8.42,8.7,20.31,38.24,123.06,-10.53,7.18,19.51,36.21,93.75
200312,-22.21,8.68,21.66,39.02,160.47,-15.4,9.49,22.04,39.01,135.81,-11.45,8.85,21.91,37.86,109.08,-8.96,8.7,21.47,38.06,109.26,-10.43,8.26,20.73,37.27,83.23
200401,-16.95,14.13,28.82,49.08,203.39,-9.89,14.46,29.41,48.24,161.72,-5.17,14.44,28.94,46.59,137.06,-3.49,14.76,28.56,46.68,133.96,-5.6,14.06,28.98,48.1,106.14
200402,-6.49,23.91,38.21,59.54,214.76,0.98,23.85,38.59,59.01,164.47,6.38,23.67,37.53,59.15,150.02,6.7,23.96,37.76,58.69,142.15,6.25,24.61,38.47,57.35,110.53
200403,1.27,31,46.13,68.89,244.35,7.23,30.92,47.44,68.02,212.1,13.63,30.08,45.89,68.25,171.27,12.42,30.94,45.94,67.42,171.53,13.18,29.91,46.43,68.68,135.54
200404,1.56,32.29,49.29,74.56,249.06,8.18,33.01,48.91,75.39,209.53,12.42,32.73,48.86,73.19,211.8,13.18,32.85,49.64,72.87,168.9,13.67,32.07,48.61,70.2,141.72
200405,-6.21,23.96,38.51,59.02,202.17,1.39,24.06,38.48,59.25,169.18,5.59,24.14,38.45,59.29,142.35,6.44,23.57,38.44,59.79,132.59,4.71,24.3,37.79,56.6,103.52
200406,-16.19,13.57,25.77,42.57,145.1,-9.2,13.67,26.08,43.18,122.59,-6.3,13.44,25.75,42.31,90.45,-7.17,13.51,26.13,41.62,90.08,-2.04,13.73,25.2,41.7,73.55
200407,-18.88,12.54,24.83,40.29,134.6,-10.57,12.87,24.52,41.19,103.31,-6.37,12.75,24.87,40.49,95.13,-6.71,12.28,25.01,39.5,86.45,-3.03,11.73,24.88,39.03,77.4
200408,-18.37,12.45,24.64,41.25,132.12,-11.11,12.55,24.69,40.92,112.14,-7.62,12.29,25.36,41.37,92.62,-8.72,12.48,24.95,40.42,86.87,-3.12,13.12,25.08,40.05,83.5
200409,-29.78,3.66,17.07,31.26,103.59,-24,4.45,16.73,32.39,90.32,-18.62,4.9,16.84,31.91,77.67,-16.85,4.1,16.89,31.12,67.54,-14.51,5.11,16.54,30.33,64.62
200410,-29.27,5.86,19.35,33.15,99.31,-22.34,7.4,18.77,32.69,89.42,-20.51,6.87,19.03,32.4,75.53,-15.76,6.73,19.16,32.63,63.45,-10.46,6.83,19.38,31.85,63.37
200411,-33.86,1.52,14.82,28.52,93.67,-26.51,1.97,14.55,29.85,81.29,-27.95,2.76,14.12,28.8,71.87,-20.04,2.25,15.48,28.57,66.54,-16.1,2.3,15.3,28.08,60.6
200412,-34.68,0.02,12.57,27.18,89.81,-27.82,0.24,12.46,26.9,72.6,-25.09,0.45,12.41,26.09,67.9,-21.56,0.53,13.58,25.99,63.44,-17.67,-0.01,12.24,26.14,65.39
200501,-30.99,2.55,14.92,28.76,92.82,-24.48,3.37,14.52,28.61,76.61,-24.4,3.28,15.38,28.33,86.62,-18.59,2.87,14.56,28.38,63.95,-14.02,3.3,15.4,28.55,73.37
200502,-30.11,3.25,15.43,30.39,92.74,-20.74,3.88,15.98,28.96,82.53,-22.1,3.73,16.23,30.2,76.14,-15.92,4.33,16.37,30.06,68.21,-14.53,4.53,16.26,29.18,70.46
200503,-34.73,-1.13,11.23,25.23,80.6,-26,-0.69,11.3,24.53,73.65,-25.36,-0.95,11.76,25.48,72.88,-20.5,-0.85,11.4,25.63,60.66,-18.35,-0.15,11.4,24.3,60.76
200504,-34.28,-0.47,13.07,29.01,91.79,-22.82,0.46,13.29,28.51,81.16,-24.66,0.62,13.27,28.87,79.56,-18.64,0.21,12.64,29.81,66.19,-16.52,0.81,13.05,27.77,68.27
200505,-33.5,1.24,14.53,28.66,91.98,-21.85,1.51,14.12,28.98,76.35,-22.79,2.33,14.92,28.44,78.52,-16.29,1.2,15.17,28.99,65.54,-16.84,1.71,14.15,29.44,69.93
200506,-38.6,-3.92,9.01,23.49,79.99,-29.55,-3.9,9.13,23.33,67.24,-28.96,-3.22,9.19,23.29,69.06,-23.34,-4.04,9.39,23.65,53.06,-23.51,-3.05,9.77,23.41,54.32
200507,-36.58,-3.45,9.46,23.82,89.61,-26.77,-2.54,9.58,24.14,67.97,-26.47,-2.65,10.5,24.16,69.78,-19.77,-2.7,10.53,24.24,56.9,-19.27,-2.2,9.88,24.13,52.82
200508,-29.17,3.14,16.24,32.46,100.27,-17.93,3.81,16.71,32.14,83.87,-15.86,4.14,16.76,31.14,80.79,-15.15,3.51,16.93,32.38,71.65,-13.16,3.94,16.3,31.69,68.33
200509,-23.37,8.45,22.27,39.51,118.1,-13.64,9.48,22.71,38.51,108.13,-12.42,8.25,22.53,39.34,87.59,-8.25,9.79,22.18,40.05,83.18,-8.26,9.59,21.9,38.64,80.93
200510,-26.92,4.28,16.45,32.08,105.91,-16.15,4.79,17.06,33.26,102.02,-15.91,4.24,16.47,31.8,76.2,-12.17,4.91,17.04,32.92,72.47,-12,4.72,16.32,32.34,71.19
