Size and Ret212,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
198807,-52.43,-23.76,-11.97,-1.38,34.66,-42.6,-22.52,-11.67,-1.5,26.65,-40.55,-23.97,-11.82,-1.52,21.75,-38.75,-23.25,-11.72,-0.96,19.19,-36.47,-23.05,-11.58,-1.36,18.93
198808,-52.02,-22.64,-10.9,0.45,37.78,-42.19,-22.17,-10.59,0.37,30.65,-38.88,-21.54,-10.93,1.86,26.26,-37.68,-21.35,-10.66,0.56,19.39,-35.77,-21.2,-11.59,0.52,18.51
198809,-52.39,-25.4,-14.59,-4.2,31.38,-42.73,-24.93,-14.6,-4.25,26.25,-42.91,-24.81,-14.69,-3.45,19.39,-38.22,-24.83,-14.95,-4.21,14.94,-37.64,-24.11,-14.72,-4.36,11.86
198810,-52.19,-25.5,-15.18,-4.29,31.52,-43.48,-25.29,-15.1,-4.1,25.81,-41.88,-24.66,-14.95,-4.21,18.31,-40.64,-25.17,-14.96,-4.64,11.92,-37.31,-25.01,-15.06,-4.61,12.69
198811,-30.95,4.88,17.48,31.36,91.7,-16.47,5.82,17.77,31.22,82.3,-15.3,6.2,17.4,31.6,69.99,-12.28,6.15,17.38,30.52,65.53,-8.6,6.33,17.17,31.6,61.86
198812,-25.31,11.94,23.77,41.2,108.35,-8.63,12.51,24.74,41.47,97.06,-6.99,12.63,24.71,40.8,85.84,-6.69,12.56,24.39,40.15,81.99,-2.75,12.75,24.1,38.98,74.38
198901,-32.43,2.58,13.7,26.53,88.82,-19.38,2.83,14.03,26.56,72.07,-15.41,2.99,13.62,25.66,68.49,-15.5,2.57,14.19,26.47,58.89,-14.05,2.52,14.12,25.55,59.11
198902,-34.16,0.2,10.57,22.89,82.43,-20.58,0.69,10.34,22.69,65.62,-16.64,1.13,10.02,23.53,60.92,-15.05,0.69,10.04,23.79,55.36,-11.42,0.86,10.44,22.98,50.49
198903,-33.76,-0.64,9.59,21.72,80.12,-21.21,-0.19,9.76,21.42,61.34,-17.17,0.23,9.76,21.09,54.97,-15.68,0.14,9.5,20.45,53.77,-11.29,0.21,9.49,20.22,51.75
198904,-33.53,-1.14,8.67,20.08,74.47,-22.84,-0.88,8.53,19.98,57.11,-16.67,-0.4,8.77,19.66,56.05,-16.2,-0.26,9.19,18.75,52.03,-13.14,0.8,9.15,19.45,48.66
198905,-34.71,-0.73,10.03,22.03,80.23,-23.39,-1.3,10.49,22.08,60.45,-18.77,-0.31,10,21.09,59.77,-16.52,-0.46,9.99,21.75,59.4,-11.65,-0.35,10.41,21.72,50.67
198906,-31.63,2.96,15.5,29.21,88.39,-18.95,3.47,16.12,29.66,70.42,-14.89,3.42,15.44,28.24,72.36,-14.7,4.34,16.17,28.8,70.2,-10.17,3.34,15.79,28.81,58.65
198907,-34.37,0.7,13.82,26.78,84.91,-20.96,0.69,14.28,27.01,70.13,-16.89,2.06,13.56,26.4,71.97,-17.68,2.48,14.24,26.38,59.12,-14.37,2.9,14.35,26.54,54.96
198908,-34.35,1.3,14.91,27.23,80.14,-21.08,2.23,15.46,27.09,71.03,-20.03,2.29,15.58,26.92,65.44,-16.78,2.77,15.03,27.44,58.31,-12.56,2.52,15.45,27.29,55.4
198909,-28.91,8.6,23.66,38.8,101.77,-15.82,9.7,23.65,39.06,89.35,-12.7,9.75,24.2,39.04,92.34,-12.91,10.65,24.46,39.12,75.94,-11.24,11.64,25.03,38.61,74.18
198910,-28.69,8.84,22.74,38.23,103.6,-14.35,9.17,23.23,38.5,93.92,-12.31,10.52,22.63,37.95,85.06,-12.95,10.68,22.93,37.37,68.9,-10.52,11.29,23.86,37.43,72.93
198911,-30.59,6.42,20.75,36.66,105.52,-14.52,7.64,20.82,36.91,93.36,-11.89,7.46,20.79,36.29,83.94,-12.85,8.65,20.76,36.63,71.16,-4.48,8.48,21.38,36.28,73.34
198912,-32.91,3.53,18.21,33.16,102.54,-21.06,4.83,18.32,33.21,90.17,-18.23,4.93,18.66,33.43,79.59,-16.67,5.35,18.43,33.28,66.27,-13.06,5.87,18.94,33.92,65.89
199001,-37.3,0.57,17.91,33.47,99.37,-27.2,1.91,18.02,33.57,92.22,-23.26,1.89,17.95,33.16,75.8,-22.44,2.01,18.26,33.73,67.26,-15.77,1.4,18.29,34.67,63.75
199002,-42.98,-5.88,13.12,28.8,88.69,-30.1,-5.15,12.77,28.89,83.77,-28.56,-3.86,13.87,28.7,68.19,-26.09,-3.88,12.98,30.05,57.72,-22.97,-5.33,14.23,30.02,53.37
199003,-46.54,-12.14,5.39,21.04,76.78,-38.62,-10.43,5.32,20.09,66.44,-35.81,-9.95,6.17,21.21,52.53,-30.84,-10.03,6.23,20.94,47.25,-32.73,-10.43,5.94,22.08,40.87
199004,-46.43,-12.24,4.76,20.44,77.51,-35.42,-11.36,5.19,21.18,69.91,-34.96,-11.09,5.16,20.77,54.67,-29.34,-10.33,6,21.02,44.99,-32.16,-10.71,6.61,21.14,42.03
199005,-46.15,-12.46,3.96,18.17,73.34,-37.95,-11.85,3.98,17.93,72.82,-32.29,-11.5,4.34,19.54,55.32,-28.5,-11.71,4.36,18.22,46.9,-26.21,-11.12,4.69,18.51,38.79
199006,-50.44,-19.63,-4.7,8.27,64.18,-44.51,-18.69,-3.95,9.09,55.63,-40.35,-19.13,-4.59,8.64,49.99,-36.61,-19.02,-3.28,8.49,36.29,-35.06,-18.36,-3.51,9.85,27.65
199007,-46.52,-13.66,1.71,17.68,83.73,-40.18,-12.53,2.86,16.76,81.14,-34.11,-13.78,2.19,17.23,74.17,-32.08,-12.12,2.01,16.77,51.58,-33.56,-13.17,3.65,17.09,44.21
199008,-50.78,-19.2,-4.1,9.72,75.65,-43.36,-17.51,-3.11,10.3,67.48,-37.34,-16.98,-3.54,8.91,59.53,-36.54,-18.3,-3.31,9.16,43.15,-32.32,-18.1,-3.34,9.85,35.78
