Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
193209,-2.94,-2.43,-6.82,0.03,2.44,9.61,-8.47
193210,-13.17,-2.76,-10.04,0.02,4.29,-1.53,-8.25
193211,-5.88,2.08,-13.28,0.02,-2.09,-0.06,-6.58
193212,4.4,-8.27,-8.16,0.01,5.26,-0.56,-8.82
193301,1.25,0.63,6.14,0.01,-1.53,7.72,2.47
193302,-15.24,-2.75,-2.73,-0.03,4.19,3.13,-3.62
193303,3.29,3.9,7.38,0.04,2.35,10.16,6.24
193304,38.85,4.56,17.43,0.1,-15.95,-12.28,36.36
193305,21.43,36.7,19.03,0.04,-3.92,2.49,33.13
193306,13.11,8.67,-1.88,0.02,3.54,0,10.9
193307,-9.63,-1.01,3.27,0.02,0.41,7.96,0.99
193308,12.05,-5.45,2.96,0.03,7.51,8.37,2.46
193309,-10.65,-0.32,-11.77,0.02,1.65,-0.45,-13.95
193310,-8.36,-0.08,-8.46,0.01,-2.28,-1.18,-6.02
193311,9.97,-6.48,2.33,0.02,6.35,5.97,2.21
193312,1.83,0.66,-1.53,0.02,3.96,-0.69,-0.44
193401,12.6,12.53,15.54,0.05,-3.1,9.78,27.06
193402,-2.5,5.19,2.12,0.02,-0.25,2.18,1.62
193403,0.09,2.51,-2.73,0.02,-0.86,1.28,-1.57
