Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
192804,2.58,2.06,3.09,2.88,3.08,9.31,9.87,8.65,9.94,9.79,19.74,20.53,22.48,20.26,20.5,46.15,52.61,51.39,45.41,55.12,117.31,264.14,330.67,250.82,506.58
192805,2.79,2.51,3.73,3.4,3.12,9.63,10.32,9.78,9.99,9.73,23.33,23.92,22.26,20.62,21.44,50.4,54.34,54.47,51.77,52.85,133.71,263.78,401.09,239.67,428.02
192806,3.3,3.04,3.06,3.13,3.34,9.25,10.36,9.68,10.95,9.45,22.42,23.96,20.95,21.3,21.43,44.36,53.67,55.19,53.11,55.47,159.14,313.43,336.43,250.59,433.87
192807,3.07,2.86,2.68,2.55,2.79,8.55,9.59,9.48,9.38,8.64,21.79,20.52,20.97,21.05,20.22,40.2,53.25,49.69,53.19,50.21,143.93,257.71,369.08,243.17,438.57
192808,2.88,2.68,3.03,2.52,2.8,7.57,10.33,9.6,9.97,8.21,19.63,21.79,21.18,20.1,21.55,41.23,55.13,49.53,56.02,51.11,156.47,246.52,427.28,252.47,387.01
192809,3.18,2.3,3.15,2.73,2.7,8.19,10.11,9.86,10.39,9.09,22.1,23.65,22.62,21.04,22.79,48.72,54.86,55.65,55.24,56.21,156.54,260.83,448.53,263.53,437.61
192810,3.34,2.16,3.77,2.58,2.99,9.02,10.51,10.58,10.41,9.78,23.45,24.02,23.44,23.46,22.53,48.51,57.06,57.49,58.08,59.14,168.27,288.22,425.19,236.64,491.22
192811,3.06,3.28,2.45,3.59,2.84,9.28,10.57,10.47,11.1,10.17,24.5,22.9,24.13,22.56,23.92,53.57,48.68,60.25,58.33,59.68,262.38,279.28,343.67,348.9,470.75
192812,3.57,3.7,4.31,2.97,3.12,10.98,10.73,11.13,11.65,12.07,27.46,27.1,26.3,24.22,24.69,56.14,65.55,59.58,63.26,65.36,189.04,304.17,428.92,373.34,459.14
192901,3.46,3.9,4.2,2.89,2.93,11.34,10.56,11.07,12.84,11.16,27.74,26.37,27.67,28.16,24.35,68.13,70.04,67.46,66.36,65.24,158,305.76,368.88,565.83,358.16
192902,3.39,4.5,4.22,2.8,2.83,10.61,11.83,12.5,11.27,11.69,28.45,27.44,25.35,28.53,30.56,72.63,64.24,74.17,71.81,68.71,157.93,294.37,433.97,581.9,401.98
192903,3.44,4.05,4.23,2.94,2.82,10.98,11.55,12.03,13.42,10.81,27.98,27.49,27.58,29.79,27.54,52.37,70.29,71.3,68.02,68.86,155.65,292.11,506.73,370.65,443.86
192904,3.39,3.73,3.63,3,3.33,10.68,10.93,12.89,12.2,11.52,26.62,26.85,27.34,28,28.02,68.91,68.33,67.65,67.25,67.29,174.2,274.38,704.54,371.72,388.38
192905,3.3,3.94,3.56,3.74,2.68,11.66,11.03,11.83,12.6,10.78,26.13,26.59,28.51,26.82,30.2,61.64,74.88,66.27,66.49,68.87,120.61,193.86,499.07,492.57,391.35
192906,2.52,3.45,3.24,3.79,2.72,9.98,10.03,11.23,9.97,9.08,25.38,24.87,24.2,25.12,25.53,65.02,68.7,64.89,60.18,60.88,-99.99,199.23,456.51,453.68,388.39
192907,3,2.97,3.34,3.28,2.81,10.67,11.11,10.45,10.79,10.32,24.13,26.49,26.03,31.22,25.57,73.93,63.82,66.36,69.85,69.36,-99.99,428.21,299,528.47,435.56
192908,2.8,3.58,3,2.96,3.73,10.3,10.76,10.96,10.92,11.25,24.52,23.37,25.94,29.52,27.03,53.03,61.36,72.98,62.41,70.93,141.03,428.55,273.29,567.47,465.66
192909,2.77,3.33,3.33,2.9,3.37,9.88,11.48,10.81,13.34,10.64,25.83,27.17,25.93,29.75,28.67,53.54,72.32,73.9,69.21,70.81,205.94,528.82,359.37,430.66,599.3
192910,2.41,3.08,2.8,3.95,2.78,9.41,11.07,10.35,11.49,11.75,24.13,24.21,25.63,27.42,25.37,49.19,65.61,69.74,69.48,63.94,246.24,567.63,306.77,327.27,577.05
192911,1.92,2.28,2.56,2.1,1.46,8.06,8.29,9.28,7.13,8.89,19.89,19.38,19.79,20.21,22.37,31.47,56.93,55.08,51.24,58.91,171.87,427.57,236.84,326.9,487.61
192912,1.6,1.84,2.05,1.24,1.82,6.19,6.88,7.09,7.79,7.45,16.37,15.88,16.16,17.08,17.96,32.52,46.89,44.44,46.17,44.4,145.43,328.09,187.15,288.58,385.93
193001,1.56,1.56,1.78,1.87,1.11,6.46,6.08,6.78,7.56,6.23,18.37,14.81,16.65,17,17.89,28.72,55.46,40.89,46.52,48.84,193.5,318.67,136.98,327.93,414.63
193002,1.83,2.03,1.16,2.62,1.78,7.24,7.28,7.51,9.06,8.01,18.37,17.98,17.14,20.53,18.57,40.92,51.08,47.14,48.84,53.54,193.72,367.55,247.43,289.78,457.92
193003,1.84,1.73,2.75,2.23,2.59,6.91,7.84,7.78,8.71,8.77,18.58,18.01,18.35,19.01,19.76,43.02,46.82,50.49,47.2,55.6,190.09,354.12,265.45,246.6,503.06
193004,2.23,2.1,2.6,2.42,2.89,7.75,7.8,8.39,8.79,8.12,16.98,19.97,20.64,20.75,18.01,44.54,57.37,48.69,48.18,55.95,208.63,420.4,327.38,208.46,517.21
193005,1.92,2.2,2.37,2.69,3.12,7.35,8.21,8.09,8.28,7.87,16.51,16.9,19.26,18.86,20.58,38.07,51.78,48.08,47.56,52.83,208.59,387.93,272.84,232.53,542.49
193006,1.69,2.16,2.74,2.54,2.52,7.64,7.09,8.35,7.63,7.89,17.98,15.49,17.51,20.81,18.72,44.36,53.16,44.16,49.29,45.89,140.21,449.4,241.35,276.94,563.97
